央视频道,#genre#
CCTV1,http://113.57.103.216:9000/tsfile/live/0001_1.m3u8
CCTV1,http://120.211.119.222:8899/hls/1/index.m3u8
CCTV1,http://171.8.246.164:808/hls/1/index.m3u8
CCTV1,http://171.116.192.232:8082/rtp/226.0.2.153:9136
CCTV1,http://171.116.192.232:8082/rtp/226.0.2.16:8040
CCTV1,http://171.116.192.232:8085/rtp/226.0.2.153:9136
CCTV1,http://171.116.192.232:8085/rtp/226.0.2.16:8040
CCTV1,http://121.57.45.75:8888/udp/239.29.0.113:5000
CCTV1,http://121.57.45.75:8888/udp/239.29.1.128:5000
CCTV1,http://110.7.129.188:8096/tsfile/live/0001_1.m3u8
CCTV1,http://118.254.201.216:8888/udp/239.76.246.151:1234
CCTV1,http://118.254.201.216:8888/udp/239.76.253.151:9000
CCTV1,http://223.10.25.194:8083/udp/239.1.1.7:8007
CCTV1,http://223.10.25.194:8084/udp/239.1.1.7:8007
CCTV1,http://223.10.25.194:8082/udp/239.1.1.7:8007
CCTV1,http://124.228.160.94:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://nnth.7766.org:85//tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://59.48.75.130:3052/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://220.164.192.48:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://124.165.251.82:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://183.0.186.131:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://14.212.185.27:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://123.138.216.44:9902/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://36.249.151.138:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://mdxgh.tpddns.cn:88/mdxgh/cctv1
CCTV1,http://cdn.jdshipin.com:8880/ysp.php?id=cctv1
CCTV1,http://ygbh.live/migu.php?id=cctv1
CCTV1,http://mail.petzhu.top:7000/rtp/239.254.200.45:8008
CCTV1,http://alvin.ergotron.net:8000/udp/239.77.1.17:5146
CCTV1,http://home.huaz.site:4000/udp/239.21.1.120:5002
CCTV1,http://183.92.4.163:4000/udp/228.0.0.1:6108
CCTV1,http://dms.yryyj.site:8188/udp/239.76.245.51:1234
CCTV1,http://dms.yryyj.site:8188/udp/239.76.246.151:1234
CCTV1,http://223.72.19.116:4022/rtp/239.3.1.129:8008
CCTV1,http://218.241.192.50:8808/rtp/239.3.1.129:8008
CCTV1,http://webmail.axxe.top:4022/rtp/239.3.1.129:8008
CCTV1,http://120.234.5.29:6000/udp/239.20.0.104:2006
CCTV1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://113.206.114.34:8005/udp/225.0.4.74:7980
CCTV1,http://221.217.54.227:4022/rtp/239.3.1.129:8008
CCTV1,http://116.116.119.83:9999/udp/239.125.2.66:4120
CCTV1,http://27.10.72.127:8001/udp/225.0.4.74:7980
CCTV1,http://27.10.72.127:8002/udp/225.0.4.74:7980
CCTV1,http://27.10.72.127:8003/udp/225.0.4.74:7980
CCTV1,http://14.121.146.11:554/udp/239.77.0.86:5146
CCTV1,http://14.121.146.11:554/udp/239.77.1.144:5146
CCTV1,http://14.121.146.11:554/udp/239.77.1.17:5146
CCTV1,http://14.121.146.11:30001/udp/239.77.0.129:5146
CCTV1,http://14.121.146.11:30001/udp/239.77.0.86:5146
CCTV1,http://14.121.146.11:30001/udp/239.77.1.144:5146
CCTV1,http://14.121.146.11:30001/udp/239.77.1.17:5146
CCTV1,http://202.102.201.244:40022/rtp/238.1.78.166:7200
CCTV1,http://125.76.177.115:8888/rtp/239.112.205.59:5140
CCTV1,http://122.224.232.218:8888/rtp/233.50.201.118:5140
CCTV1,http://iku.sunnyli.link:4144/udp/239.252.219.200:5140
CCTV1,http://opdf.top:8088/udp/239.81.0.102:4056
CCTV1,http://opdf.top:8088/udp/239.81.0.13:4056
CCTV2,http://113.110.72.52:8090/hls/114/index.m3u8
CCTV2,http://113.110.72.52:808/hls/114/index.m3u8
CCTV2,http://113.57.103.216:9000/tsfile/live/0002_1.m3u8
CCTV2,http://171.108.239.79:8181/tsfile/live/1028_1.m3u8
CCTV2,http://113.15.185.246:8181/tsfile/live/0002_1.m3u8
CCTV2,http://120.211.119.222:809/hls/2/index.m3u8
